"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"30","Baalkhuyur et al.","2018","Indian Ocean, Western","Chaetodon austriacus","Chaetodontidae","Chaetodon ","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.3,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,108.2,348,11,10,10,10,NA,NA,10.82,34.8,1.1,1,1,NA,"Baalkhuyur et al.2018"
"31","Baalkhuyur et al.","2018","Indian Ocean, Western","Dascyllus trimaculatus","Pomacentridae","Dascyllus","Reef-associated","Tropical","Not Evaluated","plants/detritus+animals","selective plankton feeding",2.8,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,21,65,2,2,0,0,NA,NA,10.5,32.5,1,0,0,NA,"Baalkhuyur et al.2018"
"32","Baalkhuyur et al.","2018","Indian Ocean, Western","Epinephelus areolatus","Serranidae","Epinephelus ","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.7,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,142.1,1408,47.15,5,1,5,NA,NA,28.42,281.6,9.43,0.2,1,NA,"Baalkhuyur et al.2018"
"33","Baalkhuyur et al.","2018","Indian Ocean, Western","Epinephelus chlorostigma","Serranidae","Epinephelus ","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,108.99,2100.99,36.81,3,0.6,6,NA,NA,36.33,700.33,12.27,0.2,2,NA,"Baalkhuyur et al.2018"
"34","Baalkhuyur et al.","2018","Indian Ocean, Western","Epinephelus epistictus","Serranidae","Epinephelus ","Demersal","Tropical","Data deficient","mainly animals","hunting macrofauna",4,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,157,2122,46,5,1,5,NA,NA,31.4,424.4,9.2,0.2,1,NA,"Baalkhuyur et al.2018"
"35","Baalkhuyur et al.","2018","Indian Ocean, Western","Epinephelus radiatus","Serranidae","Ephinephelus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",4,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,205.38,2515.03,63.98,7,1.0003,7,NA,NA,29.34,359.29,9.14,0.1429,1,NA,"Baalkhuyur et al.2018"
"36","Baalkhuyur et al.","2018","Indian Ocean, Western","Gymnocranius grandoculis","Lethrinidae","Gymnocranius","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.8,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,282.3,3440,52.1,10,3.333,10,NA,NA,28.23,344,5.21,0.3333,1,NA,"Baalkhuyur et al.2018"
"37","Baalkhuyur et al.","2018","Indian Ocean, Western","Lethrinus microdon","Lethrinidae","Lethrinus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.8,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,295.3,3165,66.6,10,2,20,NA,NA,29.53,316.5,6.66,0.2,2,NA,"Baalkhuyur et al.2018"
"38","Baalkhuyur et al.","2018","Indian Ocean, Western","Lipocheilus carnolabrum","Lutjanidae","Lipocheilus","Demersal","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.9,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,170.73,1498,30.03,7,1.9999,14,NA,NA,24.39,214,4.29,0.2857,2,NA,"Baalkhuyur et al.2018"
"39","Baalkhuyur et al.","2018","Indian Ocean, Western","Lutjanus kasmira","Lutjanidae","Lutjanus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.9,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,293.4,2798.04,50.64,12,2.0004,24,NA,NA,24.45,233.17,4.22,0.1667,2,NA,"Baalkhuyur et al.2018"
