"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"142","G¸ven et al.","2017","Mediterranean and Black Sea","Saurida undosquamis","Synodontidae","Saurida","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.5,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"143","G¸ven et al.","2017","Mediterranean and Black Sea","Sciaena umbra","Sciaenidae","Sciaena","Demersal","Subtropical","Near Threatened","mainly animals","hunting macrofauna",3.8,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"144","G¸ven et al.","2017","Mediterranean and Black Sea","Scomber japonicus","Scombridae","Scomber","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.4,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"145","G¸ven et al.","2017","Mediterranean and Black Sea","Serranus cabrilla","Serranidae","Serranus","Demersal","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.4,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"146","G¸ven et al.","2017","Mediterranean and Black Sea","Siganus luridus","Siganidae","Siganus","Reef-associated","Subtropical","Not Evaluated","mainly plants/detritus","browsing on substrate",2,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"147","G¸ven et al.","2017","Mediterranean and Black Sea","Sparus aurata","Sparidae","Sparus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.7,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"148","G¸ven et al.","2017","Mediterranean and Black Sea","Trachurus mediterraneus","Carangidae","Trachurus","Pelagic-oceanic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"149","G¸ven et al.","2017","Mediterranean and Black Sea","Trigla lucerna","Triglidae","Trigla","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"150","G¸ven et al.","2017","Mediterranean and Black Sea","Umbrina cirrosa","Sciaenidae","Umbrina","Demersal","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.4,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"151","G¸ven et al.","2017","Mediterranean and Black Sea","Upeneus moluccensis","Mullidae","Upeneus","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.6,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"152","G¸ven et al.","2017","Mediterranean and Black Sea","Upeneus pori","Mullidae","Upeneus","Demersal","Subtropical","Not Evaluated","mainly animals","",3.5,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"153","Garnier et al.","2019","Pacific, Eastern Central","Cheilopogon simus","Exocoetidae","Cheilopogon","Pelagic-neritic","Tropical","Not Evaluated","mainly animals","selective plankton feeding",4,20,"NaCl","H2O2","Visual","None","no","yes","no","yes","","","yes",853.4,NA,NA,147.56,34,6.12,8.16,4.42,25.1,NA,NA,4.34,0.18,0.24,0.13,"Garnier et al.2019"
"154","Garnier et al.","2019","Pacific, Eastern Central","Epinephelus merra","Serranidae","Epinephelus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.8,20,"NaCl","H2O2","Visual","None","no","yes","no","yes","","","yes",594,NA,NA,146.52,33,9.9,12.87,4.62,18,NA,NA,4.44,0.3,0.39,0.14,"Garnier et al.2019"
"155","Giani et al.","2019","Mediterranean and Black Sea","Merluccius merluccius","Merlucciidae","Merluccius","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",4.4,100,"None","KOH","Visual","None","no","yes","yes","yes","","Blue","no",NA,2771.29,18070.13,NA,97,25.996,133.86,NA,NA,28.57,186.29,NA,0.268,1.38,NA,"Giani et al.2019"
"156","Giani et al.","2019","Mediterranean and Black Sea","Mullus barbatus","Mullidae","Mullus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.1,100,"None","KOH","Visual","None","no","yes","yes","yes","","Blue","no",NA,2240.04,7885.68,NA,132,26.004,142.56,NA,NA,16.97,59.74,NA,0.197,1.08,NA,"Giani et al.2019"
"157","Halstead et al.","2018","Pacific, Southwest","Acanthopagrus australis","Sparidae","Acanthopagrus","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.1,500,"None","None","Visual","FTIR/Raman","yes","yes","yes","","Acrylic/polyester blend","","no",NA,266.4,960,NA,24,NA,14.4,NA,NA,11.1,40,NA,NA,0.6,NA,"Halstead et al.2018"
"158","Halstead et al.","2018","Pacific, Southwest","Gerres subfasciatus","Gerreidae","Gerres","Demersal","Subtropical","Least Concern","","",3.3,500,"None","None","Visual","FTIR/Raman","yes","yes","yes","","Acrylic/polyester blend","","no",NA,163.2,216,NA,24,NA,2.4,NA,NA,6.8,9,NA,NA,0.1,NA,"Halstead et al.2018"
"159","Halstead et al.","2018","Pacific, Southwest","Mugil cephalus","Mugilidae","Mugil","Benthopelagic","Subtropical","Least Concern","mainly plants/detritus","variable",2.5,500,"None","None","Visual","FTIR/Raman","yes","yes","yes","","Acrylic/polyester blend","","no",NA,1134,15210,NA,45,NA,112.5,NA,NA,25.2,338,NA,NA,2.5,NA,"Halstead et al.2018"
"160","Hermsen et al.","2017","Atlantic, Northeast","Clupea harengus","Clupeidae","Clupea","Benthopelagic","Temperate","Least Concern","mainly animals","selective plankton feeding",3.4,20,"None","KOH","Visual","FTIR","yes","yes","","","","","yes",NA,NA,NA,NA,131,0,0,NA,NA,NA,NA,NA,0,0,NA,"Hermsen et al.2017"
"161","Hermsen et al.","2017","Atlantic, Northeast","Limanda limanda","Pleuronectidae","Limanda","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.4,20,"None","KOH","Visual","FTIR","yes","yes","","","","","yes",NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,0,0,NA,"Hermsen et al.2017"
"162","Hermsen et al.","2017","Atlantic, Northeast","Merlangius merlangus","Gadidae","Merlangius","Benthopelagic","Temperate","Least Concern","mainly animals","hunting macrofauna",4.4,20,"None","KOH","Visual","FTIR","yes","yes","","","","","yes",NA,NA,NA,NA,28,0,0,NA,NA,NA,NA,NA,0,0,NA,"Hermsen et al.2017"
"163","Hermsen et al.","2017","Atlantic, Northeast","Sprattus sprattus","Clupeidae","Sprattus","Pelagic-neritic","Temperate","Not Evaluated","mainly animals","selective plankton feeding",3,20,"None","KOH","Visual","FTIR","yes","yes","no","yes","Polymethylmethacrylate ","Clear","no",NA,NA,NA,NA,141,0.99969,1.974,NA,NA,NA,NA,NA,0.00709,0.014,NA,"Hermsen et al.2017"
"164","Herrera et al.","2019","Atlantic, Eastern Central","Scomber colias","Scombridae","Scomber","Pelagic-neritic","Temperate","Least Concern","mainly animals","hunting macrofauna",3.9,50,"None","KOH","Visual","FTIR","yes","yes","yes","","","Blue","no",NA,NA,NA,NA,120,93.96,260.4,244.8,NA,NA,NA,NA,0.783,2.17,2.04,"Herrera et al.2019"
"165","Jabeen et al.","2017","Pacific, Northwest","Branchiostegus japonicus","Malacanthidae","Branchiostegus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.4,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",277.2,NA,909,NA,18,18,82.8,50.4,15.4,NA,50.5,NA,1,4.6,2.8,"Jabeen et al.2017"
"166","Jabeen et al.","2017","Pacific, Northwest","Callionymus planus","Callionymidae","Callionymus","Demersal","Temperate","Not Evaluated","","",3.3,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",372.6,NA,655.2,NA,18,18,86.4,41.4,20.7,NA,36.4,NA,1,4.8,2.3,"Jabeen et al.2017"
"167","Jabeen et al.","2017","Pacific, Northwest","Coilia†nasus","Engraulidae","Coilia","Pelagic-neritic","Subtropical","Not Evaluated","","",3,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",349.2,NA,518.4,NA,18,18,72,32.4,19.4,NA,28.8,NA,1,4,1.8,"Jabeen et al.2017"
"168","Jabeen et al.","2017","Pacific, Northwest","Collichthys lucidus","Sciaenidae","Collichthys","Demersal","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.5,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",264.6,NA,529.2,NA,18,18,111.6,43.2,14.7,NA,29.4,NA,1,6.2,2.4,"Jabeen et al.2017"
"169","Jabeen et al.","2017","Pacific, Northwest","Cynoglossus abbreviatus","Cynoglossidae","Cynoglossus","Demersal","Deep-water","Not Evaluated","mainly animals","hunting macrofauna",3.5,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",408.6,NA,1123.2,NA,18,18,124.2,43.2,22.7,NA,62.4,NA,1,6.9,2.4,"Jabeen et al.2017"
"170","Jabeen et al.","2017","Pacific, Northwest","Harpadon nehereus","Synodontidae","Harpadon","Benthopelagic","Tropical","Not Evaluated","mainly animals","",4.2,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",430.2,NA,1085.4,NA,18,18,68.4,36,23.9,NA,60.3,NA,1,3.8,2,"Jabeen et al.2017"
"171","Jabeen et al.","2017","Pacific, Northwest","Hyporhamphus intermedius","Hemiramphidae","Hyporhamphus","Pelagic-neritic","Subtropical","Not Evaluated","mainly animals","selective plankton feeding",3.4,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",622.8,NA,1767.6,NA,18,18,66.6,39.6,34.6,NA,98.2,NA,1,3.7,2.2,"Jabeen et al.2017"
"172","Jabeen et al.","2017","Pacific, Northwest","Larimichthys crocea","Sciaenidae","Larimichthys","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.7,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",426.6,NA,2772,NA,18,18,82.8,61.2,23.7,NA,154,NA,1,4.6,3.4,"Jabeen et al.2017"
"173","Jabeen et al.","2017","Pacific, Northwest","Lateolabrax japonicus","Lateolabracidae","Lateolabrax","Reef-associated","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.4,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",388.8,NA,1692,NA,18,18,37.8,5.4,21.6,NA,94,NA,1,2.1,0.3,"Jabeen et al.2017"
"174","Jabeen et al.","2017","Pacific, Northwest","Mugil cephalus","Mugilidae","Mugil","Benthopelagic","Subtropical","Least Concern","mainly plants/detritus","variable",2.5,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",410.4,NA,1843.2,NA,18,18,66.6,18,22.8,NA,102.4,NA,1,3.7,1,"Jabeen et al.2017"
"175","Jabeen et al.","2017","Pacific, Northwest","Muraenesox cinereus","Muraenesocidae","Muraenesox","Demersal","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",4.4,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",777.6,NA,2626.2,NA,18,18,43.2,10.8,43.2,NA,145.9,NA,1,2.4,0.6,"Jabeen et al.2017"
"176","Jabeen et al.","2017","Pacific, Northwest","Oxyeleotris marmorata","Eleotridae","Oxyeleotrix","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.9,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",302.4,NA,831.6,NA,18,18,75.6,43.2,16.8,NA,46.2,NA,1,4.2,2.4,"Jabeen et al.2017"
"177","Jabeen et al.","2017","Pacific, Northwest","Pampus cinereus","Stromateidae","Pampus","Benthopelagic","Subtropical","Not Evaluated","mainly animals","selective plankton feeding",3.3,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",347.4,NA,1904.4,NA,18,18,54,14.4,19.3,NA,105.8,NA,1,3,0.8,"Jabeen et al.2017"
"178","Jabeen et al.","2017","Pacific, Northwest","Photopectoralis bindus","Leiognathidae","Photopectoralis","Demersal","Tropical","Not Evaluated","plants/detritus+animals","",2.9,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",203.4,NA,376.2,NA,18,18,73.8,37.8,11.3,NA,20.9,NA,1,4.1,2.1,"Jabeen et al.2017"
"179","Jabeen et al.","2017","Pacific, Northwest","Planiliza haemotocheila","Mugilidae","Planiliza","Pelagic-neritic","Temperate","Not Evaluated","plants/detritus+animals","grazing on aquatic plants",2.5,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",419.4,NA,1600.2,NA,18,18,59.4,5.4,23.3,NA,88.9,NA,1,3.3,0.3,"Jabeen et al.2017"
"180","Jabeen et al.","2017","Pacific, Northwest","Psenopsis anomala","Centrolophidae","Psenopsis","Benthopelagic","Tropical","Least Concern","mainly animals","hunting macrofauna",4,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",304.2,NA,1225.8,NA,18,18,19.8,5.4,16.9,NA,68.1,NA,1,1.1,0.3,"Jabeen et al.2017"
"181","Jabeen et al.","2017","Pacific, Northwest","Sebasticus marmoratus","Sebastidae","Sebasticus","Demersal","Tropical","Not Evaluated","","",3.7,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",244.8,NA,664.2,NA,18,18,75.6,23.4,13.6,NA,36.9,NA,1,4.2,1.3,"Jabeen et al.2017"
"182","Jabeen et al.","2017","Pacific, Northwest","Sillago sihama","Sillaginidae","Silago","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.3,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",273.6,NA,451.8,NA,18,18,46.8,36,15.2,NA,25.1,NA,1,2.6,2,"Jabeen et al.2017"
"183","Jabeen et al.","2017","Pacific, Northwest","Synechobius ommaturus","Bobiidae","Synechobius","Demersal","Subtropical","Not Evaluated","","",3.6,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",252,NA,387,NA,18,18,95.4,52.2,14,NA,21.5,NA,1,5.3,2.9,"Jabeen et al.2017"
"184","Jabeen et al.","2017","Pacific, Northwest","Terapon jarbua","Terapontidae","Terapon","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.9,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",340.2,NA,1582.2,NA,18,18,54,12.6,18.9,NA,87.9,NA,1,3,0.7,"Jabeen et al.2017"
"185","Jabeen et al.","2017","Pacific, Northwest","Thamnaconus septentrionalis","Monacanthidae","Thamnaconus","Demersal","Temperate","Not Evaluated","","",3.4,20,"NaCl","H2O2","Visual","FTIR","yes","yes","yes","no","Cellophane","Clear","no",347.4,NA,1931.4,NA,18,18,129.6,50.4,19.3,NA,107.3,NA,1,7.2,2.8,"Jabeen et al.2017"
"186","Karlsson et al","2017","Atlantic, Northeast","Salmo trutta","Salmonidae","Salmo","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.4,20,"None","Proteinase K","Visual","Raman","yes","yes","","","","","no",NA,NA,NA,NA,62,42.16,NA,NA,NA,NA,NA,NA,0.68,NA,NA,"Karlsson et al2017"
"187","Karthik et al","2018","Indian Ocean, Eastern","Arius arius ","Ariidae","Arius","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.5,20,"None","KOH","Visual","FTIR","yes","yes","no","no","Polyethylene","Black","no",NA,177.1,60.5,NA,11,0.9999,0.99,NA,NA,16.1,5.5,NA,0.0909,0.09,NA,"Karthik et al2018"
"188","Karthik et al","2018","Indian Ocean, Eastern","Leiognathus equulus","Leiognathidae","Leiognathus","Demersal","Tropical","Least Concern","mainly animals","selective plankton feeding",3,20,"None","KOH","Visual","FTIR","yes","yes","no","no","Polyethylene","Clear","no",NA,171,69,NA,10,1,1,NA,NA,17.1,6.9,NA,0.1,0.1,NA,"Karthik et al2018"
"189","Karthik et al","2018","Indian Ocean, Eastern","Mugil cephalus","Mugilidae","Mugil","Benthopelagic","Subtropical","Least Concern","mainly plants/detritus","variable",2.5,20,"None","KOH","Visual","FTIR","yes","yes","no","no","Polyethylene","Blue","no",NA,162,51.6,NA,12,2.0004,2.04,NA,NA,13.5,4.3,NA,0.1667,0.17,NA,"Karthik et al2018"
"190","Karthik et al","2018","Indian Ocean, Eastern","Rastrelliger kanagurta","Scombridae","Rastrelliger","Pelagic-neritic","Tropical","Data deficient","mainly animals","hunting macrofauna",3.2,20,"None","KOH","Visual","FTIR","yes","yes","no","no","Polyethylene","Green","no",NA,336.6,2697.9,NA,17,0.986,1.003,NA,NA,19.8,158.7,NA,0.058,0.059,NA,"Karthik et al2018"
"191","Karthik et al","2018","Indian Ocean, Eastern","Siganus javus","Siganidae","Siganus","Reef-associated","Tropical","Least Concern","mainly animals","variable",2.4,20,"None","KOH","Visual","FTIR","yes","yes","no","no","Polyethylene","Blue","no",NA,481.4,3062.4,NA,29,1.9981,2.9,NA,NA,16.6,105.6,NA,0.0689,0.1,NA,"Karthik et al2018"
"192","Kazour et al.","2018","Atlantic, Northeast","Platichthys flesus","Pleuronectidae","Platichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,5,"None","KOH","Visual","Raman","yes","yes","yes","yes","Copper phthalocyanine","Blue","no",NA,NA,NA,NA,76,54.869,162.98,113.92,NA,NA,NA,NA,0.721960526315789,2.14447368421053,1.49894736842105,"Kazour et al.2018"
"193","Kazour et al.","2018","Atlantic, Northeast","Platichthys flesus","Pleuronectidae","Platichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,5,"None","KOH","Visual","Raman","yes","yes","yes","yes","Polycaprolactam","Blue","no",NA,NA,NA,NA,10,6.016,8,10.1,NA,NA,NA,NA,0.6016,0.8,1.01,"Kazour et al.2018"
"194","Lusher et al.","2013","Atlantic, Northeast","Buglossidium luteum","Soleidae","Buglossidium","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,50,13,NA,NA,NA,NA,NA,NA,0.26,NA,NA,"Lusher et al.2013"
"195","Lusher et al.","2013","Atlantic, Northeast","Callionymus lyra","Callionymidae","Callionymus","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,50,19,NA,NA,NA,NA,NA,NA,0.38,NA,NA,"Lusher et al.2013"
"196","Lusher et al.","2013","Atlantic, Northeast","Cepola macrophthalma","Salmonidae","Cepola","Demersal","Subtropical","Least Concern","mainly animals","selective plankton feeding",3.1,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,62,20.026,NA,NA,NA,NA,NA,NA,0.323,NA,NA,"Lusher et al.2013"
"197","Lusher et al.","2013","Atlantic, Northeast","Chelidonichthys cuculus","Triglidae","Chelidonichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,66,33.99,NA,NA,NA,NA,NA,NA,0.515,NA,NA,"Lusher et al.2013"
"198","Lusher et al.","2013","Atlantic, Northeast","Merlangius merlangus","Gadidae","Merlangius","Benthopelagic","Temperate","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,50,16,NA,NA,NA,NA,NA,NA,0.32,NA,NA,"Lusher et al.2013"
"199","Lusher et al.","2013","Atlantic, Northeast","Microchirus variegatus","Soleidae","Microchirus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,51,11.985,NA,NA,NA,NA,NA,NA,0.235,NA,NA,"Lusher et al.2013"
"200","Lusher et al.","2013","Atlantic, Northeast","Micromesistius poutassou","Gadidae","Micromesistius","Bathypelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,27,14.013,NA,NA,NA,NA,NA,NA,0.519,NA,NA,"Lusher et al.2013"
"201","Lusher et al.","2013","Atlantic, Northeast","Trachurus trachurus","Carangidae","Trachurus","Pelagic-neritic","Subtropical","Vulnerable","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,56,16.016,NA,NA,NA,NA,NA,NA,0.286,NA,NA,"Lusher et al.2013"
"202","Lusher et al.","2013","Atlantic, Northeast","Trisopterus minutus","Gadidae","Trisopterus","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,50,20,NA,NA,NA,NA,NA,NA,0.4,NA,NA,"Lusher et al.2013"
"203","Lusher et al.","2013","Atlantic, Northeast","Zeus faber","Zeidae","Zeus ","Benthopelagic","Temperate","Data deficient","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","yes","no","Rayon","","no",NA,NA,NA,NA,42,19.992,NA,NA,NA,NA,NA,NA,0.476,NA,NA,"Lusher et al.2013"
"204","Lusher et al.","2015","Atlantic, Northeast","Arctozenus risso","Paralepididae","Arctozenus","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.2,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",266,NA,NA,NA,14,2.94,18.2,NA,19,NA,NA,NA,0.21,1.3,NA,"Lusher et al.2015"
"205","Lusher et al.","2015","Atlantic, Northeast","Benthosema glaciale","Myctophidae","Benthosema","Pelagic-oceanic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",162.27,NA,NA,NA,27,5.94,40.5,NA,6.01,NA,NA,NA,0.22,1.5,NA,"Lusher et al.2015"
"206","Lusher et al.","2015","Atlantic, Northeast","Lampanyctus crocodilus","Myctophidae","Lampanyctus","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.2,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",20,NA,NA,NA,2,0,0,NA,10,NA,NA,NA,0,0,NA,"Lusher et al.2015"
"207","Lusher et al.","2015","Atlantic, Northeast","Maurolicus muelleri","Sternoptychidae","Maurolicus","Bathypelagic","Deep-water","Not Evaluated","mainly animals","selective plankton feeding",3,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",1522.8,NA,NA,NA,282,8.46,310.2,NA,5.4,NA,NA,NA,0.03,1.1,NA,"Lusher et al.2015"
"208","Lusher et al.","2015","Atlantic, Northeast","Myctophum punctatum","Myctophidae","Myctophum","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.4,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",23.28,NA,NA,NA,3,0,0,NA,7.76,NA,NA,NA,0,0,NA,"Lusher et al.2015"
"209","Lusher et al.","2015","Atlantic, Northeast","Nemichthys scolopaceus","Nemichthyidae","Nemichthys","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.5,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",8.7,NA,NA,NA,1,1,1,NA,8.7,NA,NA,NA,1,1,NA,"Lusher et al.2015"
"210","Lusher et al.","2015","Atlantic, Northeast","Notoscopelus kroyeri","Alepisauridae","Notoscopelus","Pelagic-oceanic","Temperate","Not Evaluated","mainly animals","selective plankton feeding",3.2,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",4149.15,NA,NA,NA,417,62.55,458.7,NA,9.95,NA,NA,NA,0.15,1.1,NA,"Lusher et al.2015"
"211","Lusher et al.","2015","Atlantic, Northeast","Stomias boa boa","Stomiidae","Stomias","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",4,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",96.5,NA,NA,NA,5,2,10,NA,19.3,NA,NA,NA,0.4,2,NA,"Lusher et al.2015"
"212","Lusher et al.","2015","Atlantic, Northeast","Xenodermichthys copei","Alepocephalidae","Xenodermichthys","Bathypelagic","Deep-water","Least Concern","mainly animals","variable",3.2,250,"None","KOH","Visual","None","no","yes","yes","no","","Black","no",70,NA,NA,NA,5,3,10,NA,14,NA,NA,NA,0.6,2,NA,"Lusher et al.2015"
"213","Markic et al.","2018","Pacific, Eastern Central","Acanthurus lineatus","Acanthuridae","Acanthurus","Reef-associated","Tropical","Least Concern","plants/detritus+animals","grazing on aquatic plants",2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,542.4,3926.4,NA,24,1.608,36,57.6,NA,22.6,163.6,NA,0.067,1.5,2.4,"Markic et al.2018"
"214","Markic et al.","2018","Pacific, Eastern Central","Caranx papuensis","Carangidae","Caranx","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,342.4,531.2,NA,32,14.016,76.8,108.8,NA,10.7,16.6,NA,0.438,2.4,3.4,"Markic et al.2018"
"215","Markic et al.","2018","Pacific, Eastern Central","Cheilopogon pitcairnensis","Exocoetidae","Cheilopogon","Pelagic-neritic","Tropical","Not Evaluated","mainly animals","selective plankton feeding",3.9,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,562.8,3507,NA,21,1.995,21,0,NA,26.8,167,NA,0.095,1,0,"Markic et al.2018"
"216","Markic et al.","2018","Pacific, Southwest","Chelidonichthys kumu","Triglidae","Chelidonichthys","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.7,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,918,NA,NA,27,0.999,54,0,NA,34,NA,NA,0.037,2,0,"Markic et al.2018"
