author,study.habitat,from,year,region,location,species,life.stage,family,common.name,genus,environment,climate,red.list,feeding.type,feeding.habit,TL,fork.length,total.length,W,GW,N,Cature.meth,min.size,float.meth,dig.meth,count.meth,polymer.meth,polymer.ID,blanks,blank.conc,ingest.rate,Mpsgut,SDMPsgut,MPspergfish,SDMPspergfish,maj.fib,maj.under.one.mm,maj.polymer,maj.col,exclude.fib,notes
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Myloplus rubripinnis,Adult,Serrasalmidae,Redhook myleus,Myloplus,Freshwater; benthopelagic,Tropical,,plants/detritus+animals,other,2,10.03,,129.8,,15,,500,None,None,Visual,FTIR,yes,yes,0,,2,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Myloplus schomburgkii,Adult,Serrasalmidae,Disk tetra,Myloplus,Freshwater; benthopelagic,Tropical,,,,,5.08,,6,,6,,500,None,None,Visual,FTIR,yes,yes,0,,1,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Ossubtus xinguense,Adult,Serrasalmidae,Pacu,Ossubtus,Freshwater; benthopelagic,Tropical,,mainly plants/detritus,grazing on aquatic plants,2,12.39,,157.7,,19,,500,None,None,Visual,FTIR,yes,yes,0,,11,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Pristobrycon striolatus,Adult,Serrasalmidae,Piranha,Pristobrycon,Freshwater; benthopelagic,Tropical,,mainly plants/detritus,,2,10.88,,68,,14,,500,None,None,Visual,FTIR,yes,yes,0,,3,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Serrasalmus eigenmanni,Adult,Serrasalmidae,Pirambeba,Serrasalmus,Freshwater; benthopelagic,Tropical,,,,3.7,11.91,,106.1,,6,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Pygocentrus nattereri,Adult,Serrasalmidae,Red piranha,Pygocentrus,Freshwater; pelagic,Subtropical,,mainly animals,hunting macrofauna,3.7,14,,88,,4,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Serrasalmus altispinis,Adult,Serrasalmidae,Piranha,Serrasalmus,Freshwater; pelagic,Tropical,,,,3.5,14.15,,78,,3,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Serrasalmus manueli,Adult,Serrasalmidae,Piranha,Serrasalmus,Freshwater; benthopelagic,Tropical,,,,3.7,11.26,,62.3,,7,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Serrasalmus rhombeus,Adult,Serrasalmidae,Redeye piranha,Serrasalmus,Freshwater; benthopelagic,Tropical,,mainly animals,hunting macrofauna,4,7.61,,20.2,,9,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Tometes ancylorhynchus,Adult,Serrasalmidae,,Tometes,Freshwater; pelagic,Tropical,,,,2.9,5.49,,7.4,,5,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Tometes kranponhah,Adult,Serrasalmidae,,Tometes,Freshwater; pelagic,Tropical,,,,2.8,7.91,,33.2,,63,,500,None,None,Visual,FTIR,yes,yes,0,,9,,,,,,Polyethylene,black,yes,
Arias et al.,Marine,Garth,2019,Atlantic: Southwest,Bahía Blanca Estuary,Micropogonias furnieri,Juvenile,Sciaenidae,Whitemouth croaker,Micropogonias,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.1,,,,,20,shrimp net,8,None,H2O2,Visual,Polarizer,no,yes,0,100,12.1,6.2,,,yes,yes,,clear,no,
